sample	medianCoverage	%Coverage>10x
211841	1560.53	99.66
211821	166.91	90.96
211853	627.21	95.64
211845	300.5	94.3
211854	457.2	94.97
211852	349.56	92.3
211850	672.54	96.31
211858	155.22	88.29
211859	750.1	96.98
211857	538.32	95.64
211862	88.89	86.28
211866	201.84	90.29
211856	105.91	86.28
211864	514.03	94.97
211869	1095.28	99.33
211874	846.6	95.64
211870	1259.53	98.99
211872	1370.56	98.99
211877	3492.34	99.66
211883	3006.6	99.66
211885	1153.4	97.65
211882	3733.96	100
211892	2587.78	99.66
211887	3094.44	99.66
211889	1394.2	98.32
211886	1147.87	97.65
211891	148.8	88.29
211898	2184.39	98.32
211906	294.74	90.96
211899	545.72	94.97
211908	198.58	90.29
211909	69.93	81.6
211910	1008.92	98.32
211907	374.86	93.64
211912	176.05	88.29
211913	1077.34	98.99
211915	188.99	88.95
211914	72.74	80.93
211916	489.53	96.31
211911	813.26	98.32
211918	310.65	94.3
211921	126.12	86.95
211920	691.76	96.31
211917	948.11	98.32
211930	238.76	91.63
211926	99.6	82.93
211922	122.78	80.26
211944	204.5	90.96
211952	537.91	99.66
211950	234.6	86.28
211923	316.78	92.3
211951	947.46	98.99
211953	831.34	97.65
211956	417.85	96.31
211957	1098.74	98.99
211955	207.76	92.97
211958	302.67	94.3
211961	1297.82	98.99
211960	223.27	91.63
211959	37.38	63.54
211962	371.89	97.65
211963	962.23	98.99
211992	127.63	84.27
211972	111.82	86.95
211965	617.17	95.64
211966	551.84	98.99
211974	830.66	97.65
212018	272.99	92.97
212033	34.64	71.56
212034	73.91	83.6
211978	74.07	78.25
212038	105.09	89.62
212037	585.08	96.31
212048	172.29	87.62
212001	540	95.64
212039	139.8	88.95
212053	222.43	92.3
212055	325.82	92.97
212056	145.7	86.95
212058	848.86	96.31
212050	93.33	84.94
212054	340.32	92.97
212062	201.46	91.63
212057	375.1	96.31
212063	303.46	92.97
212064	263.16	93.64
212069	168.45	88.95
212068	576.57	96.98
212075	154.25	88.95
212071	28.06	68.22
212108	313.62	90.96
212074	1019.01	96.98
212107	171.81	87.62
212111	336.23	96.31
212110	183.94	90.29
212112	230.66	90.29
212113	246.04	92.3
212396	596.68	96.31
212120	152.38	82.93
212398	322.82	90.29
212402	426.78	96.98
212405	188.21	88.95
212409	443.87	94.3
212410	610.36	95.64
212407	726.69	96.98
212411	1151.16	99.66
212408	369.76	93.64
212414	316.66	92.97
212412	572.76	95.64
212422	101.12	84.94
212413	652.82	95.64
212446	107.62	88.29
212437	510.21	94.3
212454	170.43	86.28
212439	399.5	92.97
212457	147	86.28
212417	1007.69	95.64
212456	139.88	87.62
212459	78.94	84.94
212460	226.18	86.28
212453	278.35	88.95
212463	545.25	97.65
212464	344.06	94.97
212465	147.18	87.62
212461	133.08	88.29
212471	719.7	97.65
212458	327.5	92.97
212472	858.85	97.65
212478	232.62	89.62
212475	94.41	85.61
212481	201.56	88.29
212480	133.65	90.96
212479	684.04	94.3
212482	138.79	87.62
212485	335.23	90.29
212484	125.91	86.28
212490	116.4	84.27
212483	669.93	96.31
212501	2143.14	98.99
212489	170.82	90.29
212506	1703.69	98.32
212495	392.78	96.98
212502	1227.32	98.32
212510	2.8	36.12
212513	1302.11	98.32
212512	7.69	48.16
212508	243.72	92.3
212514	373.14	90.96
212519	0	24.75
212515	323.9	88.95
212517	773.32	96.98
212522	222.53	89.62
212523	73	74.24
212524	1371.47	98.99
212526	746.82	94.3
212531	266.85	90.96
212528	1694.8	99.66
212525	1415.4	98.99
212530	147.7	87.62
212536	498.71	92.97
212532	1017.78	97.65
212539	738.7	96.31
212540	850.02	95.64
212537	347.76	94.3
212571	256.65	85.61
212542	1944.76	99.66
212538	1666.31	99.66
212541	513.62	95.64
212573	215.95	90.96
212576	133.02	88.29
212577	372.34	93.64
212572	2101.72	99.66
212586	458.5	94.97
212585	1278.99	98.99
212580	850.07	96.98
212590	512.36	94.97
212587	1056.87	95.64
212593	834.08	98.32
212599	861.18	96.31
212588	817.03	97.65
212595	500.04	95.64
212602	889.22	96.98
212598	1190.11	99.66
212604	1167.07	98.99
212603	1445.18	99.66
212606	1060.61	97.65
212600	1903.76	99.66
212605	862.04	96.98
212610	1336.8	98.99
212612	836.53	94.97
212611	247.07	91.63
212613	201.56	85.61
212615	164.84	86.95
212616	786.98	94.97
212621	1466.61	98.32
212620	388.19	90.29
212648	573.18	94.97
212622	1058.8	97.65
212628	515.97	95.64
212625	1777.28	99.66
212650	881.79	96.31
212651	734.38	95.64
212652	474.75	89.62
212655	595.18	93.64
212673	3910.87	99.66
212671	549.19	94.3
212656	1416.28	98.99
212675	222.48	86.28
212678	488.96	94.97
212679	273.63	89.62
212681	731.48	92.97
212688	4380.23	99.33
212691	1148.59	97.99
212683	241.55	89.97
212689	834.9	97.32
212693	763.22	94.97
212692	1513.28	97.32
212707	2881.41	99.66
212706	611.5	96.98
212712	978.94	95.64
212710	93.67	84.94
212708	1347.18	98.32
212716	135.76	88.29
212709	3564.76	99.66
212722	269.72	92.97
212717	187.26	93.64
212728	1857.2	98.32
212729	104.04	86.95
212723	732.82	94.97
212720	1884.97	99.66
212730	1088.75	96.98
212724	654.26	94.3
212735	278.83	90.29
212733	1097.3	98.32
212732	2926.47	99.66
212739	828.27	95.64
212742	444.96	94.3
212738	555.58	92.3
212748	166.74	89.62
212741	1125.1	97.65
212731	845.77	96.98
212746	317.72	91.63
212749	554.18	95.64
212755	1279.06	94.97
212745	729.57	97.65
212757	1201.08	97.32
212764	1247.18	98.99
212766	1757.69	98.99
212765	2289.23	99.66
212769	4361.88	99.66
212767	3219.4	98.99
212768	2138.64	98.99
212770	302.62	89.62
212773	957.78	97.65
212775	245.24	92.3
212776	819.28	94.97
212778	791.16	96.31
212786	454.36	94.3
212777	357.22	90.96
212789	575.95	94.3
212783	386.14	94.3
212785	316.36	90.96
212790	849.38	94.97
212791	821.1	97.65
212798	421.55	93.64
212799	491.26	94.3
212803	645.92	95.64
212801	1683.18	96.98
212809	435.52	96.98
212808	407.27	95.64
212800	1075.49	96.31
212811	555.67	94.3
212812	117.4	86.28
213028	435.51	94.97
212814	1193.55	97.65
213057	2649.3	98.99
213061	1418.91	91.63
213058	650.9	95.64
213054	543.39	96.98
213066	518.92	96.98
213068	150.63	92.97
213065	539.06	97.65
213070	1318.26	98.32
